"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Sexe","Nombre"
2019,9,"Sant Andreu",57,"la Trinitat Vella","2 dones",820
2019,9,"Sant Andreu",58,"Baró de Viver","2 dones",225
2019,9,"Sant Andreu",59,"el Bon Pastor","2 dones",1054
2019,9,"Sant Andreu",60,"Sant Andreu","2 dones",5408
2019,9,"Sant Andreu",61,"la Sagrera","2 dones",2621
2019,9,"Sant Andreu",62,"el Congrés i els Indians","2 dones",1326
2019,9,"Sant Andreu",63,"Navas","2 dones",2037
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","2 dones",3438
2019,10,"Sant Martí",65,"el Clot","2 dones",2447
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","2 dones",1329
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","2 dones",884
2019,10,"Sant Martí",68,"el Poblenou","2 dones",3130
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","2 dones",1254
2019,10,"Sant Martí",70,"el Besòs i el Maresme","2 dones",1854
2019,10,"Sant Martí",71,"Provençals del Poblenou","2 dones",1998
2019,10,"Sant Martí",72,"Sant Martí de Provençals","2 dones",2309
2019,10,"Sant Martí",73,"la Verneda i la Pau","2 dones",2496
2019,1,"Ciutat Vella",1,"el Raval","3 dones",1289
2019,1,"Ciutat Vella",2,"el Barri Gòtic","3 dones",374
2019,1,"Ciutat Vella",3,"la Barceloneta","3 dones",302
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","3 dones",540
2019,2,"Eixample",5,"el Fort Pienc","3 dones",866
2019,2,"Eixample",6,"la Sagrada Família","3 dones",1458
2019,2,"Eixample",7,"la Dreta de l'Eixample","3 dones",1274
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","3 dones",1269
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","3 dones",1617
2019,2,"Eixample",10,"Sant Antoni","3 dones",1029
2019,3,"Sants-Montjuïc",11,"el Poble Sec","3 dones",1102
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","3 dones",38
2019,3,"Sants-Montjuïc",13,"la Marina de Port","3 dones",937
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","3 dones",273
2019,3,"Sants-Montjuïc",15,"Hostafrancs","3 dones",398
2019,3,"Sants-Montjuïc",16,"la Bordeta","3 dones",524
2019,3,"Sants-Montjuïc",17,"Sants - Badal","3 dones",678
2019,3,"Sants-Montjuïc",18,"Sants","3 dones",1069
2019,4,"Les Corts",19,"les Corts","3 dones",1262
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","3 dones",711
2019,4,"Les Corts",21,"Pedralbes","3 dones",412
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","3 dones",155
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","3 dones",872
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","3 dones",650
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","3 dones",941
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","3 dones",1775
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","3 dones",950
2019,6,"Gràcia",28,"Vallcarca i els Penitents","3 dones",436
2019,6,"Gràcia",29,"el Coll","3 dones",211
2019,6,"Gràcia",30,"la Salut","3 dones",385
2019,6,"Gràcia",31,"la Vila de Gràcia","3 dones",1304
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","3 dones",902
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","3 dones",708
2019,7,"Horta-Guinardó",34,"Can Baró","3 dones",255
2019,7,"Horta-Guinardó",35,"el Guinardó","3 dones",1024
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","3 dones",290
2019,7,"Horta-Guinardó",37,"el Carmel","3 dones",909
2019,7,"Horta-Guinardó",38,"la Teixonera","3 dones",305
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","3 dones",218
2019,7,"Horta-Guinardó",40,"Montbau","3 dones",132
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","3 dones",186
2019,7,"Horta-Guinardó",42,"la Clota","3 dones",13
2019,7,"Horta-Guinardó",43,"Horta","3 dones",683
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","3 dones",686
2019,8,"Nou Barris",45,"Porta","3 dones",715
2019,8,"Nou Barris",46,"el Turó de la Peira","3 dones",484
2019,8,"Nou Barris",47,"Can Peguera","3 dones",56
2019,8,"Nou Barris",48,"la Guineueta","3 dones",402
2019,8,"Nou Barris",49,"Canyelles","3 dones",177
2019,8,"Nou Barris",50,"les Roquetes","3 dones",515
2019,8,"Nou Barris",51,"Verdun","3 dones",346
2019,8,"Nou Barris",52,"la Prosperitat","3 dones",699
2019,8,"Nou Barris",53,"la Trinitat Nova","3 dones",238
2019,8,"Nou Barris",54,"Torre Baró","3 dones",109
2019,8,"Nou Barris",55,"Ciutat Meridiana","3 dones",358
2019,8,"Nou Barris",56,"Vallbona","3 dones",45
2019,9,"Sant Andreu",57,"la Trinitat Vella","3 dones",341
2019,9,"Sant Andreu",58,"Baró de Viver","3 dones",73
2019,9,"Sant Andreu",59,"el Bon Pastor","3 dones",400
2019,9,"Sant Andreu",60,"Sant Andreu","3 dones",1530
2019,9,"Sant Andreu",61,"la Sagrera","3 dones",786
2019,9,"Sant Andreu",62,"el Congrés i els Indians","3 dones",414
2019,9,"Sant Andreu",63,"Navas","3 dones",558
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","3 dones",1021
2019,10,"Sant Martí",65,"el Clot","3 dones",833
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","3 dones",407
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","3 dones",352
2019,10,"Sant Martí",68,"el Poblenou","3 dones",995
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","3 dones",401
2019,10,"Sant Martí",70,"el Besòs i el Maresme","3 dones",661
2019,10,"Sant Martí",71,"Provençals del Poblenou","3 dones",656
2019,10,"Sant Martí",72,"Sant Martí de Provençals","3 dones",678
2019,10,"Sant Martí",73,"la Verneda i la Pau","3 dones",801
2019,1,"Ciutat Vella",1,"el Raval","4 dones o més",875
2019,1,"Ciutat Vella",2,"el Barri Gòtic","4 dones o més",225
2019,1,"Ciutat Vella",3,"la Barceloneta","4 dones o més",112
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","4 dones o més",234
2019,2,"Eixample",5,"el Fort Pienc","4 dones o més",318
2019,2,"Eixample",6,"la Sagrada Família","4 dones o més",477
2019,2,"Eixample",7,"la Dreta de l'Eixample","4 dones o més",460
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","4 dones o més",412
