"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS","3ER_NIVELL","2N_NIVELL","1ER_NIVELL",
"99400182702","Punt Verd Mòbil *Turó Parc","#","Av","Pau Casals","17","17","26","Sant Gervasi - Galvany","05","Sarrià-Sant Gervasi","08021","019","BARCELONA","41.39376","2.142043","428275.291","4582824.787","428367.203","4583025.728","","","","01/01","31/12","0111111","16:30:00","19:15:00","","","Punt verd mòbil","Medi ambient",
"99400182703","Punt Verd Mòbil *Jardins Can Senillosa-Fontcoberta","#","C","Fontcoberta","5","5","23","Sarrià","05","Sarrià-Sant Gervasi","08034","019","BARCELONA","41.394861","2.124283","426791.77","4582961.798","426883.669","4583162.74","","","","01/01","31/12","1101111","16:30:00","19:15:00","","Punt verd mòbil","Medi ambient","Medi ambient",
"99400182703","Punt Verd Mòbil *Jardins Can Senillosa-Fontcoberta","#","C","Fontcoberta","5","5","23","Sarrià","05","Sarrià-Sant Gervasi","08034","019","BARCELONA","41.394861","2.124283","426791.77","4582961.798","426883.669","4583162.74","","","","01/01","31/12","1101111","16:30:00","19:15:00","","","Punt verd mòbil","Medi ambient",
"99400182706","Punt Verd Mòbil *Jardins Ferran Casablancas","#","C","Cerignola","3","3","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.401757","2.133255","427549.524","4583719.833","427641.429","4583920.782","","","","01/01","31/12","1111011","08:30:00","14:00:00","","","Punt verd mòbil","Medi ambient",
"99400182706","Punt Verd Mòbil *Jardins Ferran Casablancas","#","C","Cerignola","3","3","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.401757","2.133255","427549.524","4583719.833","427641.429","4583920.782","","","","01/01","31/12","1111011","08:30:00","14:00:00","","Punt verd mòbil","Medi ambient","Medi ambient",
"99400182707","Punt Verd Mòbil *Escorial-Pi i Margall","#","C","Pi i Margall","6","6","32","el Camp d'en Grassot i Gràcia Nova","06","Gràcia","08025","019","BARCELONA","41.40576","2.163258","430061.738","4584139.664","430153.666","4584340.618","","","","01/01","31/12","1111101","16:30:00","19:15:00","","Punt verd mòbil","Medi ambient","Medi ambient",
"99400182707","Punt Verd Mòbil *Escorial-Pi i Margall","#","C","Pi i Margall","6","6","32","el Camp d'en Grassot i Gràcia Nova","06","Gràcia","08025","019","BARCELONA","41.40576","2.163258","430061.738","4584139.664","430153.666","4584340.618","","","","01/01","31/12","1111101","16:30:00","19:15:00","","","Punt verd mòbil","Medi ambient",
"99400182708","Punt Verd Mòbil *Plaça Font Castellana","#","Av","Mare de Déu de Montserrat","84","84","33","el Baix Guinardó","07","Horta-Guinardó","08024","019","BARCELONA","41.415157","2.167038","430387.679","4585179.891","430479.61","4585380.854","","","","01/01","31/12","1110111","16:30:00","19:15:00","","","Punt verd mòbil","Medi ambient",
"99400182708","Punt Verd Mòbil *Plaça Font Castellana","#","Av","Mare de Déu de Montserrat","84","84","33","el Baix Guinardó","07","Horta-Guinardó","08024","019","BARCELONA","41.415157","2.167038","430387.679","4585179.891","430479.61","4585380.854","","","","01/01","31/12","1110111","16:30:00","19:15:00","","Punt verd mòbil","Medi ambient","Medi ambient",
"99400182710","Punt Verd Mòbil *Tajo-Cartellà","#","C","Cartellà","192","192","43","Horta","07","Horta-Guinardó","08031","019","BARCELONA","41.430858","2.163354","430096.641","4586925.891","430188.569","4587126.871","","","","01/01","31/12","0111111","16:30:00","19:15:00","","","Punt verd mòbil","Medi ambient",
"99400182710","Punt Verd Mòbil *Tajo-Cartellà","#","C","Cartellà","192","192","43","Horta","07","Horta-Guinardó","08031","019","BARCELONA","41.430858","2.163354","430096.641","4586925.891","430188.569","4587126.871","","","","01/01","31/12","0111111","16:30:00","19:15:00","","Punt verd mòbil","Medi ambient","Medi ambient",
"99400182712","Punt Verd Mòbil *Jardins Manuel Arnalot","#","Av","Jordà","29","29","39","Sant Genís dels Agudells","07","Horta-Guinardó","08035","019","BARCELONA","41.427155","2.136613","427858.257","4586536.781","427950.164","4586737.756","","","","01/01","31/12","1011111","16:30:00","19:15:00","","","Punt verd mòbil","Medi ambient",
"99400182712","Punt Verd Mòbil *Jardins Manuel Arnalot","#","Av","Jordà","29","29","39","Sant Genís dels Agudells","07","Horta-Guinardó","08035","019","BARCELONA","41.427155","2.136613","427858.257","4586536.781","427950.164","4586737.756","","","","01/01","31/12","1011111","16:30:00","19:15:00","","Punt verd mòbil","Medi ambient","Medi ambient",
"99400182713","Punt Verd Mòbil *Avinguda Rio de Janeiro - Pintor Alsamora","#","C","Pintor Alsamora","15","15","45","Porta","08","Nou Barris","08016","019","BARCELONA","41.435055","2.17907","431414.169","4587379.33","431506.109","4587580.314","","","","01/01","31/12","1111101","16:30:00","19:15:00","","","Punt verd mòbil","Medi ambient",
"99400182713","Punt Verd Mòbil *Avinguda Rio de Janeiro - Pintor Alsamora","#","C","Pintor Alsamora","15","15","45","Porta","08","Nou Barris","08016","019","BARCELONA","41.435055","2.17907","431414.169","4587379.33","431506.109","4587580.314","","","","01/01","31/12","1111101","16:30:00","19:15:00","","Punt verd mòbil","Medi ambient","Medi ambient",
"99400182714","Punt Verd Mòbil *Antonio Machado - Federico García Lorca","#","C","Antonio Machado","16","16","49","Canyelles","08","Nou Barris","08042","019","BARCELONA","41.443458","2.168315","430524.635","4588320.729","430616.566","4588521.722","","","","01/01","31/12","1101111","08:30:00","14:00:00","","Punt verd mòbil","Medi ambient","Medi ambient",
"99400182714","Punt Verd Mòbil *Antonio Machado - Federico García Lorca","#","C","Antonio Machado","16","16","49","Canyelles","08","Nou Barris","08042","019","BARCELONA","41.443458","2.168315","430524.635","4588320.729","430616.566","4588521.722","","","","01/01","31/12","1101111","08:30:00","14:00:00","","","Punt verd mòbil","Medi ambient",
"99400182715","Punt Verd Mòbil *Plaça Mossèn Clapés-Gran Sant Andreu","#","Pl","Mossèn Clapés","20","20","60","Sant Andreu","09","Sant Andreu","08030","019","BARCELONA","41.442183","2.187694","432142.098","4588163.796","432234.044","4588364.788","","","","01/01","31/12","1011111","16:30:00","19:15:00","","","Punt verd mòbil","Medi ambient",
"99400182715","Punt Verd Mòbil *Plaça Mossèn Clapés-Gran Sant Andreu","#","Pl","Mossèn Clapés","20","20","60","Sant Andreu","09","Sant Andreu","08030","019","BARCELONA","41.442183","2.187694","432142.098","4588163.796","432234.044","4588364.788","","","","01/01","31/12","1011111","16:30:00","19:15:00","","Punt verd mòbil","Medi ambient","Medi ambient",
"99400182716","Punt Verd Mòbil *Plaça Orfila","#","Pl","Orfila","6","6","60","Sant Andreu","09","Sant Andreu","08030","019","BARCELONA","41.435894","2.191271","432434.451","4587462.82","432526.4","4587663.805","","","","01/01","31/12","1111011","16:30:00","19:15:00","","Punt verd mòbil","Medi ambient","Medi ambient",
"99400182716","Punt Verd Mòbil *Plaça Orfila","#","Pl","Orfila","6","6","60","Sant Andreu","09","Sant Andreu","08030","019","BARCELONA","41.435894","2.191271","432434.451","4587462.82","432526.4","4587663.805","","","","01/01","31/12","1111011","16:30:00","19:15:00","","","Punt verd mòbil","Medi ambient",
